sid,id,target,category,polarity,from,to
14177:3,14177:3:0,интерьер,AMBIENCE#GENERAL,positive,9,17
14177:4,14177:4:0,атмосфера,AMBIENCE#GENERAL,neutral,0,9
14177:5,14177:5:0,кафе,RESTAURANT#GENERAL,positive,8,12
14177:6,14177:6:0,сухарики из собственного вкусного хлеба,FOOD#QUALITY,positive,19,58
14177:7,14177:7:0,Пива,DRINKS#STYLE_OPTIONS,neutral,0,4
14177:9,14177:9:0,NULL,RESTAURANT#GENERAL,positive,0,0
14177:13,14177:13:0,Еда,FOOD#QUALITY,neutral,0,3
14177:14,14177:14:0,Порции,FOOD#STYLE_OPTIONS,positive,0,6
14177:15,14177:15:0,NULL,SERVICE#GENERAL,negative,0,0
14177:16,14177:16:0,NULL,SERVICE#GENERAL,positive,0,0
14177:17,14177:17:0,NULL,RESTAURANT#GENERAL,positive,0,0
1427:2,1427:2:0,заведения на марата,RESTAURANT#GENERAL,positive,38,57
1427:3,1427:3:0,залы,AMBIENCE#GENERAL,negative,48,52
1427:3,1427:3:1,веранде,AMBIENCE#GENERAL,negative,65,72
1427:3,1427:3:2,молодой человек,SERVICE#GENERAL,positive,122,137
1427:3,1427:3:3,девушка,SERVICE#GENERAL,positive,219,226
1427:3,1427:3:4,администратор,SERVICE#GENERAL,positive,281,294
1427:5,1427:5:0,Обслуживание,SERVICE#GENERAL,positive,0,12
1427:6,1427:6:0,администратор,SERVICE#GENERAL,positive,73,86
1427:7,1427:7:0,молодой человек,SERVICE#GENERAL,positive,17,32
1427:7,1427:7:1,живая музыка,AMBIENCE#GENERAL,positive,74,86
1427:8,1427:8:0,NULL,RESTAURANT#GENERAL,positive,0,0
1427:9,1427:9:0,девушке,SERVICE#GENERAL,positive,18,25
1427:9,1427:9:1,атмосферу,AMBIENCE#GENERAL,positive,38,47
1427:9,1427:9:2,молодому человеку,SERVICE#GENERAL,positive,50,67
1427:9,1427:9:3,сотрудников,SERVICE#GENERAL,positive,75,86
1427:10,1427:10:0,NULL,RESTAURANT#GENERAL,positive,0,0
1434:2,1434:2:0,интерьер,AMBIENCE#GENERAL,positive,2,10
1434:3,1434:3:0,место,AMBIENCE#GENERAL,positive,24,29
1434:4,1434:4:0,Обслуживающий персонал,SERVICE#GENERAL,positive,0,22
1434:5,1434:5:0,официанту,SERVICE#GENERAL,positive,7,16
1434:6,1434:6:0,NULL,SERVICE#GENERAL,positive,0,0
1434:7,1434:7:0,NULL,FOOD#QUALITY,positive,0,0
1434:10,1434:10:0,блюда,FOOD#QUALITY,positive,40,45
1434:12,1434:12:0,NULL,RESTAURANT#GENERAL,positive,0,0
1434:13,1434:13:0,NULL,FOOD#QUALITY,positive,0,0
1434:14,1434:14:0,заведение,RESTAURANT#GENERAL,positive,38,47
14539:3,14539:3:0,шашлык,FOOD#QUALITY,positive,23,29
14539:5,14539:5:0,Овощи на гриле,FOOD#QUALITY,positive,0,14
14539:5,14539:5:1,"""Айдахо""",FOOD#QUALITY,positive,17,25
14539:6,14539:6:0,кухня,FOOD#QUALITY,positive,13,18
14539:7,14539:7:0,Интерьер,AMBIENCE#GENERAL,neutral,0,8
14539:8,14539:8:0,стены из стеклопакетов,AMBIENCE#GENERAL,negative,17,39
14539:10,14539:10:0,Обслуживание,SERVICE#GENERAL,positive,0,12
14539:10,14539:10:1,официантка,SERVICE#GENERAL,negative,58,68
14539:12,14539:12:0,официантке,SERVICE#GENERAL,negative,31,41
14539:16,14539:16:0,NULL,SERVICE#GENERAL,positive,0,0
14539:17,14539:17:0,NULL,SERVICE#GENERAL,positive,0,0
14539:18,14539:18:0,NULL,SERVICE#GENERAL,positive,0,0
14539:19,14539:19:0,NULL,SERVICE#GENERAL,positive,0,0
14539:21,14539:21:0,заведение,RESTAURANT#GENERAL,positive,30,39
14539:22,14539:22:0,NULL,RESTAURANT#GENERAL,positive,0,0
14568:0,14568:0:0,кафе,RESTAURANT#GENERAL,positive,8,12
14568:1,14568:1:0,NULL,RESTAURANT#GENERAL,positive,0,0
14568:2,14568:2:0,интерьер,AMBIENCE#GENERAL,positive,17,25
14568:2,14568:2:1,занавесочки,AMBIENCE#GENERAL,positive,52,63
14568:2,14568:2:2,картин,AMBIENCE#GENERAL,positive,97,103
14568:3,14568:3:0,еде,FOOD#QUALITY,positive,3,6
14568:3,14568:3:1,судака с овощами и рисом,FOOD#QUALITY,positive,61,85
14568:3,14568:3:2,кофе Борджиа,DRINKS#QUALITY,positive,119,131
14568:4,14568:4:0,восточных салатов,FOOD#QUALITY,positive,22,39
14568:5,14568:5:0,Американо,DRINKS#QUALITY,positive,0,9
14568:6,14568:6:0,сервис,SERVICE#GENERAL,negative,41,47
14568:8,14568:8:0,местечко,RESTAURANT#GENERAL,positive,20,28
14568:8,14568:8:1,местечко,RESTAURANT#PRICES,positive,20,28
14568:8,14568:8:2,местечко,AMBIENCE#GENERAL,positive,20,28
14568:8,14568:8:3,центре,LOCATION#GENERAL,positive,31,37
14568:8,14568:8:4,обстановкой,AMBIENCE#GENERAL,positive,78,89
14865:0,14865:0:0,атмосферу,AMBIENCE#GENERAL,positive,24,33
14865:2,14865:2:0,интерьер,AMBIENCE#GENERAL,neutral,31,39
14865:2,14865:2:1,кухня,FOOD#QUALITY,positive,51,56
14865:2,14865:2:2,оформление стола,FOOD#STYLE_OPTIONS,positive,99,115
14865:2,14865:2:3,блюд,FOOD#STYLE_OPTIONS,positive,128,132
14865:3,14865:3:0,NULL,RESTAURANT#PRICES,positive,0,0
14865:4,14865:4:0,NULL,RESTAURANT#GENERAL,positive,0,0
14865:4,14865:4:1,обслуживанием,SERVICE#GENERAL,positive,22,35
14865:5,14865:5:0,персоналу,SERVICE#GENERAL,positive,16,25
1511:1,1511:1:0,девушка,SERVICE#GENERAL,negative,51,58
1511:4,1511:4:0,NULL,AMBIENCE#GENERAL,negative,0,0
1511:5,1511:5:0,Меню,FOOD#STYLE_OPTIONS,negative,0,4
1511:5,1511:5:1,паст,FOOD#STYLE_OPTIONS,positive,57,61
1511:5,1511:5:2,пицц,FOOD#STYLE_OPTIONS,positive,63,67
1511:5,1511:5:3,салатов,FOOD#STYLE_OPTIONS,negative,76,83
1511:5,1511:5:4,закусок,FOOD#STYLE_OPTIONS,negative,86,93
1511:7,1511:7:0,вина,DRINKS#STYLE_OPTIONS,negative,22,26
1511:8,1511:8:0,Официант,SERVICE#GENERAL,positive,0,8
1511:9,1511:9:0,NULL,SERVICE#GENERAL,positive,0,0
1511:10,1511:10:0,Кофе капуччино,DRINKS#QUALITY,positive,0,14
1511:10,1511:10:1,шампанское,DRINKS#QUALITY,neutral,47,57
1511:11,1511:11:0,Кухня,FOOD#QUALITY,negative,0,5
1511:13,1511:13:0,NULL,RESTAURANT#PRICES,positive,0,0
1511:14,1511:14:0,NULL,RESTAURANT#GENERAL,neutral,0,0
1511:15,1511:15:0,NULL,RESTAURANT#GENERAL,neutral,0,0
1515:1,1515:1:0,кухней,FOOD#QUALITY,positive,152,158
1515:1,1515:1:1,обслуживанием,SERVICE#GENERAL,positive,161,174
1515:1,1515:1:2,интерьер,AMBIENCE#GENERAL,positive,187,195
1515:1,1515:1:3,атмосфера,AMBIENCE#GENERAL,positive,198,207
1515:1,1515:1:4,ланч,FOOD#QUALITY,negative,228,232
1515:2,1515:2:0,кусочек мяса,FOOD#QUALITY,negative,42,54
1515:3,1515:3:0,NULL,FOOD#QUALITY,negative,0,0
1515:4,1515:4:0,блюдо,FOOD#QUALITY,negative,32,37
1515:5,1515:5:0,заведение,RESTAURANT#GENERAL,negative,92,101
15159:1,15159:1:0,еда,FOOD#QUALITY,positive,26,29
15159:1,15159:1:1,еда,FOOD#PRICES,positive,26,29
15159:1,15159:1:2,порции,FOOD#STYLE_OPTIONS,positive,40,46
15159:3,15159:3:0,Зал,AMBIENCE#GENERAL,positive,0,3
15159:3,15159:3:1,обслуживание,SERVICE#GENERAL,neutral,17,29
15159:4,15159:4:0,NULL,RESTAURANT#GENERAL,positive,0,0
15159:6,15159:6:0,еда,FOOD#QUALITY,positive,15,18
15159:6,15159:6:1,еда,FOOD#PRICES,positive,15,18
15159:7,15159:7:0,Меню,FOOD#STYLE_OPTIONS,positive,0,4
15159:9,15159:9:0,Интерьер,AMBIENCE#GENERAL,positive,0,8
15159:10,15159:10:0,NULL,RESTAURANT#GENERAL,positive,0,0
15335:0,15335:0:0,обстановка,AMBIENCE#GENERAL,positive,121,131
15335:0,15335:0:1,интерьер,AMBIENCE#GENERAL,positive,134,142
15335:1,15335:1:0,официанты,SERVICE#GENERAL,positive,73,82
15335:1,15335:1:1,зал,AMBIENCE#GENERAL,positive,101,104
15335:2,15335:2:0,персонала,SERVICE#GENERAL,positive,28,37
15335:2,15335:2:1,официант,SERVICE#GENERAL,positive,96,104
15335:3,15335:3:0,NULL,SERVICE#GENERAL,positive,0,0
15335:4,15335:4:0,Еда,FOOD#QUALITY,positive,0,3
15335:4,15335:4:1,порции,FOOD#STYLE_OPTIONS,positive,24,30
15335:5,15335:5:0,NULL,AMBIENCE#GENERAL,positive,0,0
15335:6,15335:6:0,танцы,AMBIENCE#GENERAL,positive,49,54
15335:6,15335:6:1,обслуживание,SERVICE#GENERAL,positive,79,91
15335:6,15335:6:2,еда,FOOD#QUALITY,positive,95,98
15335:6,15335:6:3,коктели,DRINKS#QUALITY,positive,116,123
15335:7,15335:7:0,NULL,SERVICE#GENERAL,positive,0,0
15335:7,15335:7:1,заведение,RESTAURANT#GENERAL,positive,34,43
15335:8,15335:8:0,Трес Амигос,RESTAURANT#GENERAL,positive,0,11
15335:9,15335:9:0,NULL,RESTAURANT#GENERAL,positive,0,0
15423:0,15423:0:0,заведение,RESTAURANT#GENERAL,positive,7,16
15423:0,15423:0:1,персонала,SERVICE#GENERAL,positive,129,138
15423:1,15423:1:0,песни,RESTAURANT#MISCELLANEOUS,positive,55,60
15423:3,15423:3:0,кухни,FOOD#QUALITY,positive,13,18
15423:3,15423:3:1,стейки из говядины и лосося,FOOD#QUALITY,positive,87,114
15423:4,15423:4:0,NULL,FOOD#QUALITY,negative,0,0
15423:5,15423:5:0,обслуживание,SERVICE#GENERAL,positive,21,33
15423:5,15423:5:1,обслуживание,SERVICE#GENERAL,positive,123,135
15423:5,15423:5:2,девушка,SERVICE#GENERAL,positive,185,192
15423:6,15423:6:0,NULL,RESTAURANT#GENERAL,positive,0,0
15567:4,15567:4:0,NULL,SERVICE#GENERAL,negative,0,0
15567:5,15567:5:0,пасту,FOOD#QUALITY,negative,53,58
15567:5,15567:5:1,суши,FOOD#QUALITY,negative,61,65
15567:6,15567:6:0,Паста,FOOD#QUALITY,negative,0,5
15567:6,15567:6:1,макароны,FOOD#QUALITY,negative,37,45
15567:6,15567:6:2,соусом,FOOD#QUALITY,negative,59,65
15567:6,15567:6:3,суши,FOOD#QUALITY,positive,77,81
15567:7,15567:7:0,Официантка,SERVICE#GENERAL,negative,0,10
15567:8,15567:8:0,горячие полотенца,SERVICE#GENERAL,negative,25,42
15567:9,15567:9:0,NULL,RESTAURANT#GENERAL,negative,0,0
15567:10,15567:10:0,месторасположение,LOCATION#GENERAL,neutral,27,44
15567:10,15567:10:1,интерьер,AMBIENCE#GENERAL,neutral,46,54
15567:10,15567:10:2,кухня,FOOD#QUALITY,neutral,56,61
15567:10,15567:10:3,организация работы,SERVICE#GENERAL,negative,66,84
15567:11,15567:11:0,повар,SERVICE#GENERAL,negative,48,53
15567:12,15567:12:0,девушка официантка,SERVICE#GENERAL,negative,2,20
15567:12,15567:12:1,срок ожидания,SERVICE#GENERAL,negative,79,92
15567:13,15567:13:0,заведение,RESTAURANT#GENERAL,negative,12,21
1563:1,1563:1:0,официант,SERVICE#GENERAL,positive,86,94
1563:2,1563:2:0,пивная карта,DRINKS#STYLE_OPTIONS,positive,48,60
1563:3,1563:3:0,суши-меню,FOOD#STYLE_OPTIONS,negative,57,66
1563:5,1563:5:0,паб,RESTAURANT#GENERAL,negative,8,11
1563:5,1563:5:1,суши,FOOD#QUALITY,neutral,184,188
1563:6,1563:6:0,пасту пене,FOOD#QUALITY,positive,25,35
1563:6,1563:6:1,стейк,FOOD#QUALITY,positive,38,43
1563:6,1563:6:2,блюд,FOOD#QUALITY,positive,80,84
1563:6,1563:6:3,порций,FOOD#STYLE_OPTIONS,positive,99,105
1563:7,1563:7:0,Пиво,DRINKS#STYLE_OPTIONS,positive,0,4
1563:7,1563:7:1,Пиво,DRINKS#QUALITY,positive,0,4
1563:8,1563:8:0,NULL,SERVICE#GENERAL,positive,0,0
1563:8,1563:8:1,интерьеру,AMBIENCE#GENERAL,neutral,37,46
1563:9,1563:9:0,Паб,RESTAURANT#GENERAL,positive,19,22
15655:1,15655:1:0,NULL,RESTAURANT#GENERAL,positive,0,0
15655:2,15655:2:0,Интерьер,AMBIENCE#GENERAL,positive,0,8
15655:3,15655:3:0,Официанты,SERVICE#GENERAL,positive,0,9
15655:4,15655:4:0,музыка,AMBIENCE#GENERAL,positive,16,22
15655:5,15655:5:0,теплого салата с говядиной,FOOD#QUALITY,positive,42,68
15655:5,15655:5:1,стейк из говядины,FOOD#QUALITY,positive,80,97
15655:6,15655:6:0,крем-суп из лосося,FOOD#QUALITY,positive,24,42
15655:7,15655:7:0,NULL,FOOD#QUALITY,positive,0,0
15655:8,15655:8:0,порции,FOOD#STYLE_OPTIONS,positive,2,8
15655:9,15655:9:0,местом,RESTAURANT#GENERAL,positive,50,56
15758:1,15758:1:0,NULL,RESTAURANT#GENERAL,positive,0,0
15758:2,15758:2:0,Ресторану,RESTAURANT#GENERAL,neutral,0,9
15758:2,15758:2:1,место,AMBIENCE#GENERAL,positive,71,76
15758:2,15758:2:2,обслуживание,SERVICE#GENERAL,positive,93,105
15758:2,15758:2:3,еда,FOOD#QUALITY,positive,117,120
15758:4,15758:4:0,NULL,SERVICE#GENERAL,positive,0,0
15758:5,15758:5:0,алкоголя,FOOD#STYLE_OPTIONS,neutral,9,17
15758:5,15758:5:1,медовуха,DRINKS#QUALITY,positive,78,86
15758:6,15758:6:0,меню,FOOD#STYLE_OPTIONS,neutral,46,50
16137:1,16137:1:0,интерьер,AMBIENCE#GENERAL,negative,93,101
16137:2,16137:2:0,NULL,AMBIENCE#GENERAL,negative,0,0
16137:4,16137:4:0,gangster bar-а,AMBIENCE#GENERAL,negative,54,68
16137:6,16137:6:0,Встреча гостей,SERVICE#GENERAL,negative,11,25
16137:6,16137:6:1,официантов,SERVICE#GENERAL,negative,91,101
16137:7,16137:7:0,девушке-официанту,SERVICE#GENERAL,negative,71,88
16137:11,16137:11:0,NULL,SERVICE#GENERAL,positive,0,0
16137:12,16137:12:0,еда,FOOD#STYLE_OPTIONS,neutral,5,8
16137:12,16137:12:1,заведения,RESTAURANT#GENERAL,neutral,49,58
16137:13,16137:13:0,NULL,FOOD#STYLE_OPTIONS,negative,0,0
16137:14,16137:14:0,Персонал,SERVICE#GENERAL,positive,0,8
16137:15,16137:15:0,Сырная тарелка,FOOD#STYLE_OPTIONS,negative,0,14
16137:16,16137:16:0,Салат цезарь,FOOD#STYLE_OPTIONS,negative,0,12
16137:16,16137:16:1,курицы,FOOD#STYLE_OPTIONS,negative,64,70
16137:17,16137:17:0,блюд,FOOD#QUALITY,neutral,3,7
16137:18,16137:18:0,NULL,RESTAURANT#PRICES,positive,0,0
16137:19,16137:19:0,место,RESTAURANT#GENERAL,positive,9,14
16151:0,16151:0:0,Ресторан,RESTAURANT#GENERAL,positive,0,8
16151:1,16151:1:0,NULL,RESTAURANT#GENERAL,positive,0,0
16151:3,16151:3:0,NULL,AMBIENCE#GENERAL,negative,0,0
16151:4,16151:4:0,столовой,AMBIENCE#GENERAL,negative,32,40
16151:5,16151:5:0,Стулья,AMBIENCE#GENERAL,negative,0,6
16151:6,16151:6:0,столов,AMBIENCE#GENERAL,negative,6,12
16151:7,16151:7:0,NULL,AMBIENCE#GENERAL,positive,0,0
16151:8,16151:8:0,NULL,AMBIENCE#GENERAL,neutral,0,0
16151:9,16151:9:0,второй этаж,AMBIENCE#GENERAL,positive,6,17
16151:11,16151:11:0,свет,AMBIENCE#GENERAL,positive,13,17
16151:12,16151:12:0,Меню,FOOD#STYLE_OPTIONS,positive,0,4
16151:13,16151:13:0,цезарь с лососем,FOOD#QUALITY,positive,15,31
16151:13,16151:13:1,мало соленой рыбой,FOOD#QUALITY,positive,75,93
16151:15,16151:15:0,сыром,FOOD#QUALITY,positive,44,49
16151:15,16151:15:1,помидорами,FOOD#QUALITY,positive,52,62
16151:16,16151:16:0,NULL,FOOD#QUALITY,positive,0,0
16151:17,16151:17:0,Десерты,FOOD#QUALITY,positive,0,7
16151:18,16151:18:0,Фроузен парфе,FOOD#QUALITY,positive,0,13
16151:19,16151:19:0,Обслуживание,RESTAURANT#GENERAL,positive,0,12
16151:20,16151:20:0,комплимент,SERVICE#GENERAL,positive,79,89
16151:21,16151:21:0,NULL,RESTAURANT#PRICES,neutral,0,0
16151:22,16151:22:0,Ресторан,RESTAURANT#GENERAL,positive,0,8
16151:23,16151:23:0,NULL,RESTAURANT#GENERAL,positive,0,0
16274:3,16274:3:0,девушка,SERVICE#GENERAL,positive,26,33
16274:4,16274:4:0,салат,FOOD#STYLE_OPTIONS,positive,11,16
16274:4,16274:4:1,стейк из телятины,FOOD#QUALITY,positive,102,119
16274:4,16274:4:2,мясо,FOOD#QUALITY,positive,120,124
16274:4,16274:4:3,тирамису,FOOD#QUALITY,positive,197,205
16274:4,16274:4:4,десерт,FOOD#QUALITY,positive,240,246
16274:5,16274:5:0,NULL,FOOD#QUALITY,positive,0,0
16274:6,16274:6:0,Обслуживание,SERVICE#GENERAL,positive,0,12
16274:6,16274:6:1,официанты,SERVICE#GENERAL,positive,111,120
16274:7,16274:7:0,интерьера,AMBIENCE#GENERAL,positive,10,19
16322:1,16322:1:0,меню,FOOD#STYLE_OPTIONS,neutral,32,36
16322:1,16322:1:1,интерьеру,AMBIENCE#GENERAL,neutral,38,47
16322:1,16322:1:2,пиву,DRINKS#QUALITY,neutral,50,54
16322:2,16322:2:0,атмосферой,AMBIENCE#GENERAL,positive,79,89
16322:3,16322:3:0,меню,FOOD#STYLE_OPTIONS,positive,8,12
16322:4,16322:4:0,Блюда,FOOD#STYLE_OPTIONS,positive,0,5
16322:5,16322:5:0,темное пиво,DRINKS#QUALITY,positive,9,20
16322:7,16322:7:0,NULL,SERVICE#GENERAL,positive,0,0
16322:8,16322:8:0,NULL,SERVICE#GENERAL,neutral,0,0
16322:12,16322:12:0,NULL,FOOD#QUALITY,neutral,0,0
16322:18,16322:18:0,Гусыню,RESTAURANT#GENERAL,positive,60,66
16568:1,16568:1:0,Токио,RESTAURANT#GENERAL,positive,47,52
16568:1,16568:1:1,мест,RESTAURANT#GENERAL,positive,120,124
16568:2,16568:2:0,NULL,RESTAURANT#GENERAL,neutral,0,0
16568:3,16568:3:0,NULL,FOOD#PRICES,positive,0,0
16568:3,16568:3:1,еда,FOOD#QUALITY,positive,14,17
16568:3,16568:3:2,рыба,FOOD#QUALITY,positive,36,40
16568:3,16568:3:3,японское меню,FOOD#STYLE_OPTIONS,positive,99,112
16568:3,16568:3:4,европейской кухней,FOOD#STYLE_OPTIONS,positive,113,131
16568:4,16568:4:0,персонал,SERVICE#GENERAL,positive,21,29
16568:4,16568:4:1,интерьер,AMBIENCE#GENERAL,positive,40,48
16568:5,16568:5:0,NULL,SERVICE#GENERAL,negative,0,0
16568:5,16568:5:1,ресторану,RESTAURANT#GENERAL,positive,194,203
16568:6,16568:6:0,Токио,RESTAURANT#GENERAL,positive,0,5
16568:6,16568:6:1,ресторан,RESTAURANT#GENERAL,positive,84,92
16630:0,16630:0:0,обстановка,AMBIENCE#GENERAL,positive,25,35
16630:1,16630:1:0,персонал,SERVICE#GENERAL,positive,19,27
16630:1,16630:1:1,обслуживание,SERVICE#GENERAL,positive,48,60
16630:2,16630:2:0,Еда,FOOD#QUALITY,positive,0,3
16630:3,16630:3:0,NULL,RESTAURANT#GENERAL,positive,0,0
16630:4,16630:4:0,персоналу,SERVICE#GENERAL,positive,8,17
16630:4,16630:4:1,ресторан,RESTAURANT#GENERAL,positive,58,66
16630:4,16630:4:2,место,RESTAURANT#GENERAL,positive,79,84
16647:0,16647:0:0,место,RESTAURANT#GENERAL,positive,16,21
16647:1,16647:1:0,Атмосфера,AMBIENCE#GENERAL,neutral,0,9
16647:1,16647:1:1,интерьер,AMBIENCE#GENERAL,neutral,34,42
16647:1,16647:1:2,музыка,AMBIENCE#GENERAL,neutral,152,158
16647:2,16647:2:0,официанты,SERVICE#GENERAL,positive,0,9
16647:3,16647:3:0,Кухня,FOOD#QUALITY,positive,0,5
16647:4,16647:4:0,NULL,FOOD#QUALITY,positive,0,0
16647:6,16647:6:0,паста,FOOD#QUALITY,positive,0,5
16647:7,16647:7:0,шоколадный торт с ванильным мороженым,FOOD#QUALITY,positive,37,74
16647:8,16647:8:0,месте,RESTAURANT#GENERAL,positive,22,27
16647:8,16647:8:1,панорамного вида,LOCATION#GENERAL,positive,57,73
16647:8,16647:8:2,кухни,FOOD#QUALITY,positive,90,95
16647:8,16647:8:3,обстановку,AMBIENCE#GENERAL,positive,137,147
1666:1,1666:1:0,NULL,SERVICE#GENERAL,neutral,0,0
1666:2,1666:2:0,Интерьер,AMBIENCE#GENERAL,positive,0,8
1666:2,1666:2:1,музыка,AMBIENCE#GENERAL,neutral,41,47
1666:3,1666:3:0,Кухня,FOOD#QUALITY,positive,0,5
1666:3,1666:3:1,мясо,FOOD#QUALITY,positive,33,37
1666:3,1666:3:2,говядина с рукколой,FOOD#QUALITY,positive,39,58
1666:3,1666:3:3,десерты,FOOD#QUALITY,positive,62,69
1666:3,1666:3:4,грушевый наполеон,FOOD#QUALITY,positive,70,87
1666:4,1666:4:0,NULL,RESTAURANT#GENERAL,positive,0,0
1666:5,1666:5:0,обслуживанием,SERVICE#GENERAL,positive,2,15
1666:5,1666:5:1,девушка,SERVICE#GENERAL,positive,39,46
1666:6,1666:6:0,NULL,RESTAURANT#GENERAL,positive,0,0
16676:1,16676:1:0,девушки,SERVICE#GENERAL,positive,22,29
16676:4,16676:4:0,Официанты,SERVICE#GENERAL,positive,0,9
16676:5,16676:5:0,Меню,FOOD#STYLE_OPTIONS,positive,0,4
16676:5,16676:5:1,Меню,FOOD#PRICES,positive,0,4
16676:6,16676:6:0,жареного осьминога,FOOD#QUALITY,positive,24,42
16676:7,16676:7:0,Интерьер,AMBIENCE#GENERAL,positive,0,8
16676:7,16676:7:1,свечи,AMBIENCE#GENERAL,positive,64,69
16676:9,16676:9:0,местечко,AMBIENCE#GENERAL,positive,48,56
16676:9,16676:9:1,местечко,RESTAURANT#PRICES,positive,48,56
16676:9,16676:9:2,местечко,RESTAURANT#GENERAL,positive,48,56
16676:10,16676:10:0,NULL,RESTAURANT#GENERAL,positive,0,0
16714:2,16714:2:0,Хачипури,FOOD#QUALITY,neutral,0,8
16714:2,16714:2:1,сыра,FOOD#QUALITY,neutral,52,56
16714:3,16714:3:0,Салат,FOOD#QUALITY,positive,0,5
16714:3,16714:3:1,баранина,FOOD#QUALITY,positive,24,32
16714:3,16714:3:2,овощи,FOOD#QUALITY,positive,35,40
16714:4,16714:4:0,Сервис,SERVICE#GENERAL,positive,0,6
16714:5,16714:5:0,Официант,SERVICE#GENERAL,positive,0,8
16714:6,16714:6:0,Интерьер,AMBIENCE#GENERAL,neutral,0,8
16714:6,16714:6:1,обеда,FOOD#QUALITY,positive,87,92
16714:7,16714:7:0,NULL,RESTAURANT#GENERAL,positive,0,0
16714:8,16714:8:0,администратору,SERVICE#GENERAL,positive,42,56
16714:9,16714:9:0,сервис,SERVICE#GENERAL,positive,47,53
16761:0,16761:0:0,обслуживанием,SERVICE#GENERAL,positive,36,49
16761:0,16761:0:1,кухней,FOOD#QUALITY,positive,52,58
16761:5,16761:5:0,NULL,RESTAURANT#GENERAL,positive,0,0
16761:6,16761:6:0,Интерьер,AMBIENCE#GENERAL,positive,0,8
16761:6,16761:6:1,диваны,AMBIENCE#GENERAL,positive,46,52
16761:6,16761:6:2,камин,AMBIENCE#GENERAL,positive,54,59
16761:8,16761:8:0,молодой человек,SERVICE#GENERAL,positive,15,30
16761:9,16761:9:0,NULL,SERVICE#GENERAL,positive,0,0
16761:9,16761:9:1,NULL,FOOD#QUALITY,positive,0,0
16761:10,16761:10:0,NULL,RESTAURANT#GENERAL,positive,0,0
16761:11,16761:11:0,заведение,RESTAURANT#GENERAL,positive,34,43
16955:1,16955:1:0,Интерьер,AMBIENCE#GENERAL,negative,0,8
16955:2,16955:2:0,зал,AMBIENCE#GENERAL,negative,14,17
16955:3,16955:3:0,зала,AMBIENCE#GENERAL,neutral,11,15
16955:3,16955:3:1,еда,FOOD#QUALITY,negative,78,81
16955:4,16955:4:0,баклажаны жаренные,FOOD#QUALITY,negative,11,29
16955:4,16955:4:1,соус,FOOD#QUALITY,negative,180,184
16955:5,16955:5:0,NULL,DRINKS#QUALITY,negative,0,0
16955:8,16955:8:0,NULL,RESTAURANT#GENERAL,negative,0,0
17009:0,17009:0:0,заведение,RESTAURANT#GENERAL,negative,63,72
17009:1,17009:1:0,NULL,SERVICE#GENERAL,negative,0,0
17009:2,17009:2:0,NULL,SERVICE#GENERAL,negative,0,0
17009:3,17009:3:0,официант,SERVICE#GENERAL,negative,23,31
17009:4,17009:4:0,NULL,SERVICE#GENERAL,negative,0,0
17009:5,17009:5:0,официанта,SERVICE#GENERAL,negative,19,28
17009:6,17009:6:0,паста,FOOD#QUALITY,neutral,15,20
17009:6,17009:6:1,цезарь,FOOD#QUALITY,negative,69,75
17009:6,17009:6:2,куриного филе,FOOD#QUALITY,negative,121,134
17009:7,17009:7:0,NULL,SERVICE#GENERAL,negative,0,0
17009:8,17009:8:0,NULL,RESTAURANT#GENERAL,negative,0,0
17475:3,17475:3:0,гардероб,RESTAURANT#MISCELLANEOUS,positive,5,13
17475:3,17475:3:1,гардеробщик,SERVICE#GENERAL,positive,25,36
17475:3,17475:3:2,мебель,AMBIENCE#GENERAL,positive,73,79
17475:3,17475:3:3,интерьер,AMBIENCE#GENERAL,positive,91,99
17475:3,17475:3:4,некурящей зоны,RESTAURANT#MISCELLANEOUS,negative,118,132
17475:4,17475:4:0,администратора,SERVICE#GENERAL,neutral,44,58
17475:5,17475:5:0,Официант,SERVICE#GENERAL,negative,0,8
17475:7,17475:7:0,японскую кухню,FOOD#QUALITY,positive,13,27
17475:7,17475:7:1,еда,FOOD#QUALITY,positive,36,39
17475:7,17475:7:2,порции,FOOD#STYLE_OPTIONS,positive,54,60
17475:7,17475:7:3,подача,FOOD#STYLE_OPTIONS,neutral,61,67
17475:8,17475:8:0,салат цезарь,FOOD#QUALITY,positive,6,18
17475:10,17475:10:0,персоналом,SERVICE#GENERAL,positive,15,25
1749:0,1749:0:0,место,RESTAURANT#GENERAL,positive,8,13
1749:2,1749:2:0,официант,SERVICE#GENERAL,positive,34,42
1749:3,1749:3:0,Меню,FOOD#STYLE_OPTIONS,positive,0,4
1749:4,1749:4:0,десертов,FOOD#STYLE_OPTIONS,positive,14,22
1749:5,1749:5:0,тирамису,FOOD#QUALITY,positive,13,21
1749:6,1749:6:0,торт,FOOD#QUALITY,positive,48,52
1749:7,1749:7:0,NULL,SERVICE#GENERAL,negative,0,0
1749:8,1749:8:0,стейк рибай,FOOD#QUALITY,positive,13,24
1749:8,1749:8:1,свиную рульку,FOOD#QUALITY,neutral,97,110
1749:9,1749:9:0,NULL,RESTAURANT#PRICES,neutral,0,0
1749:10,1749:10:0,Обслуживание,SERVICE#GENERAL,negative,0,12
1749:10,1749:10:1,официанты,SERVICE#GENERAL,neutral,68,77
